Event,Gold,Gold.1,Silver,Silver.1,Bronze,Bronze.1,Year,Discipline,Male/Female/Mixed,Status,Date,Participants,NOCs
"Two Person Dinghy, Men",Ukraine,UKR,Great Britain,GBR,Portugal,POR,1996,Sailing,,,,,
"One Person Dinghy, Open",Robert Scheidt,BRA,Ben Ainslie,GBR,Peer Moberg,NOR,1996,Sailing,,,,,
"Two Person Keelboat, Open",Brazil,BRA,Sweden,SWE,Australia,AUS,1996,Sailing,,,,,
"Multihull, Open",Spain,ESP,Australia,AUS,Brazil,BRA,1996,Sailing,,,,,
"Three Person Keelboat, Open",Germany,GER,Russian Federation,RUS,United States,USA,1996,Sailing,,,,,
"Windsurfer, Women",Lee Lai Shan,HKG,Barbara Kendall,NZL,Alessandra Sensini,ITA,1996,Sailing,,,,,
"One Person Dinghy, Women",Kristine Roug,DEN,Margriet Matthijsse,NED,Courtenay Becker-Dey,USA,1996,Sailing,,,,,
"Two Person Dinghy, Women",Spain,ESP,Japan,JPN,Ukraine,UKR,1996,Sailing,,,,,
"Air Pistol, 10 metres, Men",Roberto Di Donna,ITA,Wang Yifu,CHN,Tanyu Kiryakov,BUL,1996,Shooting,,,,,
"Rapid-Fire Pistol, 25 metres, Men",Ralf Schumann,GER,Emil Milev,BUL,Vladimir Vokhmyanin,KAZ,1996,Shooting,,,,,
"Free Pistol, 50 metres, Men",Boris Kokorev,RUS,Ihar Basinski,BLR,Roberto Di Donna,ITA,1996,Shooting,,,,,
"Air Rifle, 10 metres, Men",Artyom Khadzhibekov,RUS,"Wolfram Waibel, Jr.",AUT,Jean-Pierre Amat,FRA,1996,Shooting,,,,,
"Small-Bore Rifle, Three Positions, 50 metres, Men",Jean-Pierre Amat,FRA,Sergey Belyayev,KAZ,"Wolfram Waibel, Jr.",AUT,1996,Shooting,,,,,
"Small-Bore Rifle, Prone, 50 metres, Men",Christian Klees,GER,Sergey Belyayev,KAZ,Jozef GÃ¶nci,SVK,1996,Shooting,,,,,
"Running Target, 10 metres, Men",Yang Ling,CHN,Xiao Jun,CHN,Miroslav JanuÅ¡,CZE,1996,Shooting,,,,,
"Trap, Men",Michael Diamond,AUS,Josh Lakatos,USA,Lance Bade,USA,1996,Shooting,,,,,
"Double Trap, Men",Russell Mark,AUS,Albano Pera,ITA,Zhang Bing,CHN,1996,Shooting,,,,,
"Skeet, Men",Ennio Falco,ITA,MirosÅaw Rzepkowski,POL,Andrea Benelli,ITA,1996,Shooting,,,,,
"Air Pistol, 10 metres, Women",Olga Klochneva,RUS,Marina Logvinenko,RUS,Mariya Grozdeva,BUL,1996,Shooting,,,,,
"Sporting Pistol, 25 metres, Women",Li Duihong,CHN,Diana Yorgova,BUL,Marina Logvinenko,RUS,1996,Shooting,,,,,
"Air Rifle, 10 metres, Women",Renata Mauer,POL,Petra Horneber,GER,Aleksandra IvoÅ¡ev,SCG,1996,Shooting,,,,,
"Small-Bore Rifle, Three Positions, 50 metres, Women",Aleksandra IvoÅ¡ev,SCG,Irina Gerasimyonok,RUS,Renata Mauer,POL,1996,Shooting,,,,,
"Double Trap, Women",Kim Rhode,USA,Susanne Kiermayer,GER,Deserie Huddleston,AUS,1996,Shooting,,,,,
"Softball, Women",United States,USA,People's Republic of China,CHN,Australia,AUS,1996,Softball,,,,,
"50 metres Freestyle, Men",Aleksandr Popov,RUS,"Gary Hall, Jr.",USA,Xuxa Scherer,BRA,1996,Swimming,,,,,
"100 metres Freestyle, Men",Aleksandr Popov,RUS,"Gary Hall, Jr.",USA,Gustavo Borges,BRA,1996,Swimming,,,,,
"200 metres Freestyle, Men",Danyon Loader,NZL,Gustavo Borges,BRA,Daniel Kowalski,AUS,1996,Swimming,,,,,
"400 metres Freestyle, Men",Danyon Loader,NZL,Paul Palmer,GBR,Daniel Kowalski,AUS,1996,Swimming,,,,,
"1,500 metres Freestyle, Men",Kieren Perkins,AUS,Daniel Kowalski,AUS,Graeme Smith,GBR,1996,Swimming,,,,,
"4 Ã 100 metres Freestyle Relay, Men",United States,USA,Russian Federation,RUS,Germany,GER,1996,Swimming,,,,,
"4 Ã 200 metres Freestyle Relay, Men",United States,USA,Sweden,SWE,Germany,GER,1996,Swimming,,,,,
"100 metres Backstroke, Men",Jeff Rouse,USA,Rodolfo FalcÃ³n,CUB,Neisser Bent,CUB,1996,Swimming,,,,,
"200 metres Backstroke, Men",Brad Bridgewater,USA,Tripp Schwenk,USA,Emanuele Merisi,ITA,1996,Swimming,,,,,
"100 metres Breaststroke, Men",Fred Deburghgraeve,BEL,Jeremy Linn,USA,Mark Warnecke,GER,1996,Swimming,,,,,
"200 metres Breaststroke, Men",Norbert RÃ³zsa,HUN,KÃ¡roly GÃ¼ttler,HUN,Andrey Korneyev,RUS,1996,Swimming,,,,,
"100 metres Butterfly, Men",Denis Pankratov,RUS,Scott Miller,AUS,Vladislav Kulikov,RUS,1996,Swimming,,,,,
"200 metres Butterfly, Men",Denis Pankratov,RUS,Tom Malchow,USA,Scott Goodman,AUS,1996,Swimming,,,,,
"200 metres Individual Medley, Men",Attila Czene,HUN,Jani Sievinen,FIN,Curtis Myden,CAN,1996,Swimming,,,,,
"400 metres Individual Medley, Men",Tom Dolan,USA,Eric Namesnik,USA,Curtis Myden,CAN,1996,Swimming,,,,,
"4 Ã 100 metres Medley Relay, Men",United States,USA,Russian Federation,RUS,Australia,AUS,1996,Swimming,,,,,
"50 metres Freestyle, Women",Amy Van Dyken,USA,Le Jingyi,CHN,Sandra VÃ¶lker,GER,1996,Swimming,,,,,
"100 metres Freestyle, Women",Le Jingyi,CHN,Sandra VÃ¶lker,GER,Angel Martino,USA,1996,Swimming,,,,,
"200 metres Freestyle, Women",Claudia Poll,CRC,Franziska van Almsick,GER,Dagmar Hase,GER,1996,Swimming,,,,,
"400 metres Freestyle, Women",Michelle Smith,IRL,Dagmar Hase,GER,Kirsten Vlieghuis,NED,1996,Swimming,,,,,
"800 metres Freestyle, Women",Brooke Bennett,USA,Dagmar Hase,GER,Kirsten Vlieghuis,NED,1996,Swimming,,,,,
"4 Ã 100 metres Freestyle Relay, Women",United States,USA,People's Republic of China,CHN,Germany,GER,1996,Swimming,,,,,
"4 Ã 200 metres Freestyle Relay, Women",United States,USA,Germany,GER,Australia,AUS,1996,Swimming,,,,,
"100 metres Backstroke, Women",Beth Botsford,USA,Whitney Hedgepeth,USA,Marianne Kriel,RSA,1996,Swimming,,,,,
"200 metres Backstroke, Women",Krisztina Egerszegi,HUN,Whitney Hedgepeth,USA,Cathleen Rund,GER,1996,Swimming,,,,,
"100 metres Breaststroke, Women",Penny Heyns,RSA,Amanda Beard,USA,Sam Riley,AUS,1996,Swimming,,,,,
"200 metres Breaststroke, Women",Penny Heyns,RSA,Amanda Beard,USA,Ãgnes KovÃ¡cs,HUN,1996,Swimming,,,,,
"100 metres Butterfly, Women",Amy Van Dyken,USA,Liu Limin,CHN,Angel Martino,USA,1996,Swimming,,,,,
"200 metres Butterfly, Women",Susie O'Neill,AUS,Petria Thomas,AUS,Michelle Smith,IRL,1996,Swimming,,,,,
"200 metres Individual Medley, Women",Michelle Smith,IRL,Marianne Limpert,CAN,Lin Li,CHN,1996,Swimming,,,,,
"400 metres Individual Medley, Women",Michelle Smith,IRL,Allison Wagner,USA,Krisztina Egerszegi,HUN,1996,Swimming,,,,,
"4 Ã 100 metres Medley Relay, Women",United States,USA,Australia,AUS,People's Republic of China,CHN,1996,Swimming,,,,,
"Singles, Men",Liu Guoliang,CHN,Wang Tao,CHN,JÃ¶rg RoÃkopf,GER,1996,Table Tennis,,,,,
"Doubles, Men",People's Republic of China 2,CHN,People's Republic of China 1,CHN,Republic of Korea 2,KOR,1996,Table Tennis,,,,,
"Singles, Women",Deng Yaping,CHN,Chen Jing,TPE,Qiao Hong,CHN,1996,Table Tennis,,,,,
"Doubles, Women",People's Republic of China 1,CHN,People's Republic of China 2,CHN,Republic of Korea 1,KOR,1996,Table Tennis,,,,,
"Singles, Men",Andre Agassi,USA,Sergi Bruguera,ESP,Leander Paes,IND,1996,Tennis,,,,,
"Doubles, Men",Australia,AUS,Great Britain,GBR,Germany,GER,1996,Tennis,,,,,
"Singles, Women",Lindsay Davenport,USA,Arantxa SÃ¡nchez Vicario,ESP,Jana NovotnÃ¡,CZE,1996,Tennis,,,,,
"Doubles, Women",United States,USA,Czech Republic,CZE,Spain,ESP,1996,Tennis,,,,,
"Volleyball, Men",Netherlands,NED,Italy,ITA,Yugoslavia,SCG,1996,Volleyball,,,,,
"Volleyball, Women",Cuba,CUB,People's Republic of China,CHN,Brazil,BRA,1996,Volleyball,,,,,
"Water Polo, Men",Spain,ESP,Croatia,CRO,Italy,ITA,1996,Water Polo,,,,,
"Flyweight, Men",Halil Mutlu,TUR,Zhang Xiangsen,CHN,Sevdalin Minchev,BUL,1996,Weightlifting,,,,,
"Bantamweight, Men",Tang Lingsheng,CHN,Leonidas Sabanis,GRE,Nikolay Peshalov,BUL,1996,Weightlifting,,,,,
"Featherweight, Men",Naim SÃ¼leymanoÄlu,TUR,Valerios Leonidis,GRE,Xiao Jiangang,CHN,1996,Weightlifting,,,,,
"Lightweight, Men",Zhan Xugang,CHN,Kim Myong-Nam,PRK,Attila Feri,HUN,1996,Weightlifting,,,,,
"Middleweight, Men",Pablo Lara,CUB,Yoto Yotov,BUL,Chon Chol-Ho,PRK,1996,Weightlifting,,,,,
"Light-Heavyweight, Men",Pyrros Dimas,GRE,Marc Huster,GER,Andrzej Cofalik,POL,1996,Weightlifting,,,,,
"Middle-Heavyweight, Men",Aleksey Petrov,RUS,Leonidas Kokas,GRE,Oliver Caruso,GER,1996,Weightlifting,,,,,
"Heavyweight I, Men",Akakios Kakiasvili,GRE,Anatoly Khrapaty,KAZ,Denys Hotfrid,UKR,1996,Weightlifting,,,,,
"Heavyweight II, Men",Tymur Taimazov,UKR,Sergey Syrtsov,RUS,Nicu Vlad,ROU,1996,Weightlifting,,,,,
"Super-Heavyweight, Men",Andrey Chemerkin,RUS,Ronny Weller,GER,Stefan Botev Khristov,AUS,1996,Weightlifting,,,,,
"Light-Flyweight, Greco-Roman, Men",Sim Gwon-Ho,KOR,Aliaksandr Paulau,BLR,Zafar Guliyev,RUS,1996,Wrestling,,,,,
"Flyweight, Greco-Roman, Men",Armen Nazaryan,ARM,Brandon Paulson,USA,Andriy Kalashnykov,UKR,1996,Wrestling,,,,,
"Bantamweight, Greco-Roman, Men",Yury Melnichenko,KAZ,Dennis Hall,USA,Sheng Zetian,CHN,1996,Wrestling,,,,,
"Featherweight, Greco-Roman, Men",WÅodzimierz Zawadzki,POL,Juan Luis MarÃ©n,CUB,Mehmet Akif Pirim,TUR,1996,Wrestling,,,,,
"Lightweight, Greco-Roman, Men",Ryszard Wolny,POL,Ghani Yalouz,FRA,Aleksandr Tretyakov,RUS,1996,Wrestling,,,,,
"Welterweight, Greco-Roman, Men",Filiberto Azcuy,CUB,Marko Asell,FIN,JÃ³zef Tracz,POL,1996,Wrestling,,,,,
"Middleweight, Greco-Roman, Men",Hamza Yerlikaya,TUR,Thomas Zander,GER,Valery Tsylents,BLR,1996,Wrestling,,,,,
"Light-Heavyweight, Greco-Roman, Men",V'iacheslav Oliynyk,UKR,Jacek FafiÅski,POL,Maik Bullmann,GER,1996,Wrestling,,,,,
"Heavyweight, Greco-Roman, Men",Andrzej WroÅski,POL,Siarhei Lishtvan,BLR,Mikael Ljungberg,SWE,1996,Wrestling,,,,,
"Super-Heavyweight, Greco-Roman, Men",Aleksandr Karelin,RUS,Matt Ghaffari,USA,Sergei Mureico,MDA,1996,Wrestling,,,,,
"Light-Flyweight, Freestyle, Men",Kim Il-Ong,PRK,Armen Mkrtchyan,ARM,Alexis Vila,CUB,1996,Wrestling,,,,,
"Flyweight, Freestyle, Men",Valentin Yordanov,BUL,Namiq Abdullayev,AZE,Maulen Mamyrov,KAZ,1996,Wrestling,,,,,
"Bantamweight, Freestyle, Men",Kendall Cross,USA,Gia Sissaouri,CAN,Ri Yong-Sam,PRK,1996,Wrestling,,,,,
"Featherweight, Freestyle, Men",Tom Brands,USA,Jang Jae-Seong,KOR,Elbrus Tedieiev,UKR,1996,Wrestling,,,,,
"Lightweight, Freestyle, Men",Vadim Bogiyev,RUS,Townsend Saunders,USA,Zaza Zazirov,UKR,1996,Wrestling,,,,,
"Welterweight, Freestyle, Men",Buvaysar Saytiyev,RUS,Park Jang-Sun,KOR,Takuya Ota,JPN,1996,Wrestling,,,,,
"Middleweight, Freestyle, Men",Khadzhimurat Magomedov,RUS,Yang Hyeong-Mo,KOR,Amir Reza Khadem Azgadhi,IRI,1996,Wrestling,,,,,
"Light-Heavyweight, Freestyle, Men",Rasoul Khadem Azgadhi,IRI,Makharbek Khadartsev,RUS,Eldar K'urt'anidze,GEO,1996,Wrestling,,,,,
"Heavyweight, Freestyle, Men",Kurt Angle,USA,Abbas Jadidi,IRI,Arawat Sabejew,GER,1996,Wrestling,,,,,
"Super-Heavyweight, Freestyle, Men",Mahmut Demir,TUR,Aliaksei Miadzvedzeu,BLR,Bruce Baumgartner,USA,1996,Wrestling,,,,,
"Individual, Men",Simon Fairweather,AUS,Vic Wunderle,USA,Wietse van Alten,NED,2000,Archery,,,,,
"Team, Men",Republic of Korea,KOR,Italy,ITA,United States,USA,2000,Archery,,,,,
"Individual, Women",Yun Mi-Jin,KOR,Kim Nam-Sun,KOR,Kim Su-Nyeong,KOR,2000,Archery,,,,,
"Team, Women",Republic of Korea,KOR,Ukraine,UKR,Germany,GER,2000,Archery,,,,,
"Individual All-Around, Men",Aleksey Nemov,RUS,Yang Wei,CHN,Oleksandr Beresh,UKR,2000,Artistic Gymnastics,,,,,
"Team All-Around, Men",People's Republic of China,CHN,Ukraine,UKR,Russian Federation,RUS,2000,Artistic Gymnastics,,,,,
"Floor Exercise, Men",Igors Vihrovs,LAT,Aleksey Nemov,RUS,Yordan Yovchev,BUL,2000,Artistic Gymnastics,,,,,
"Horse Vault, Men",Gervasio Deferr,ESP,Aleksey Bondarenko,RUS,Leszek Blanik,POL,2000,Artistic Gymnastics,,,,,
"Parallel Bars, Men",Li Xiaopeng,CHN,Lee Ju-Hyeong,KOR,Aleksey Nemov,RUS,2000,Artistic Gymnastics,,,,,
"Horizontal Bar, Men",Aleksey Nemov,RUS,Benjamin Varonian,FRA,Lee Ju-Hyeong,KOR,2000,Artistic Gymnastics,,,,,
"Rings, Men",Szilveszter CsollÃ¡ny,HUN,Dimosthenis Tambakos,GRE,Yordan Yovchev,BUL,2000,Artistic Gymnastics,,,,,
"Pommelled Horse, Men",Marius UrzicÄ,ROU,Ãric Poujade,FRA,Aleksey Nemov,RUS,2000,Artistic Gymnastics,,,,,
"Individual All-Around, Women",Simona AmÃ¢nar,ROU,Maria Olaru,ROU,Liu Xuan,CHN,2000,Artistic Gymnastics,,,,,
"Team All-Around, Women",Romania,ROU,Russian Federation,RUS,United States,USA,2000,Artistic Gymnastics,,,,,
"Floor Exercise, Women",Yelena Zamolodchikova,RUS,Svetlana Khorkina,RUS,Simona AmÃ¢nar,ROU,2000,Artistic Gymnastics,,,,,
"Horse Vault, Women",Yelena Zamolodchikova,RUS,Andreea RÄducan,ROU,Yekaterina Lobaznyuk,RUS,2000,Artistic Gymnastics,,,,,
"Uneven Bars, Women",Svetlana Khorkina,RUS,Ling Jie,CHN,Yang Yun,CHN,2000,Artistic Gymnastics,,,,,
"Balance Beam, Women",Liu Xuan,CHN,Yekaterina Lobaznyuk,RUS,Yelena Produnova,RUS,2000,Artistic Gymnastics,,,,,
"Duet, Women",Russian Federation,RUS,Japan,JPN,France,FRA,2000,Artistic Swimming,,,,,
"Team, Women",Russian Federation,RUS,Japan,JPN,Canada,CAN,2000,Artistic Swimming,,,,,
"1,500 metres Wheelchair, Men",,,,,,,2000,Athletics,,Olympic (non-medal),28-Sep-00,8,7
"800 metres Wheelchair, Women",,,,,,,2000,Athletics,,Olympic (non-medal),28-Sep-00,8,8
,,,,,,,2000,Athletics,,,,16 (8/8),11 (7/8)
"Singles, Men",Ji Xinpeng,CHN,Hendrawan,INA,Xia Xuanze,CHN,2000,Badminton,,,,,
"Doubles, Men",Indonesia,INA,Republic of Korea 1,KOR,Republic of Korea 2,KOR,2000,Badminton,,,,,
"Singles, Women",Gong Zhichao,CHN,Camilla Martin,DEN,Ye Zhaoying,CHN,2000,Badminton,,,,,
"Doubles, Women",People's Republic of China 2,CHN,People's Republic of China,CHN,People's Republic of China 1,CHN,2000,Badminton,,,,,
"Doubles, Mixed",People's Republic of China 2,CHN,Indonesia 1,INA,Great Britain 2,GBR,2000,Badminton,,,,,
"Baseball, Men",United States,USA,Cuba,CUB,Republic of Korea,KOR,2000,Baseball,,,,,
"Basketball, Men",United States,USA,France,FRA,Lithuania,LTU,2000,Basketball,,,,,
"Basketball, Women",United States,USA,Australia,AUS,Brazil,BRA,2000,Basketball,,,,,
"Beach Volleyball, Men",United States 1,USA,Brazil 1,BRA,Germany 1,GER,2000,Beach Volleyball,,,,,
"Beach Volleyball, Women",Australia 1,AUS,Brazil 1,BRA,Brazil 2,BRA,2000,Beach Volleyball,,,,,
"Light-Flyweight, Men",Brahim Asloum,FRA,Rafael Lozano,ESP,Kim Un-CholMaikro Romero,PRKCUB,2000,Boxing,,,,,
"Flyweight, Men",Wijan Ponlid,THA,Bolat Zhumadilov,KAZ,JÃ©rÃ´me ThomasVolodymyr Sydorenko,FRAUKR,2000,Boxing,,,,,
"Bantamweight, Men",Guillermo Rigondeaux,CUB,Raimkul Malakhbekov,RUS,Clarence VinsonSerhiy Danylchenko,USAUKR,2000,Boxing,,,,,
"Featherweight, Men",Bekzat Sattarkhanov,KAZ,Rocky JuÃ¡rez,USA,Kamil DzhamaludinovTahar Tamsamani,RUSMAR,2000,Boxing,,,,,
"Lightweight, Men",Mario KindelÃ¡n,CUB,Andriy Kotelnyk,UKR,Aleksandr MaletinCristian Bejarano,RUSMEX,2000,Boxing,,,,,
"Light-Welterweight, Men",Mukhammad Kadyr Abdullayev,UZB,"Ricardo Williams, Jr.",USA,DiÃ³genes LunaMohamed Allalou,CUBALG,2000,Boxing,,,,,
"Welterweight, Men",Oleg Saitov,RUS,Serhiy Dotsenko,UKR,Dorel SimionVitalie GruÅac,ROUMDA,2000,Boxing,,,,,
"Light-Middleweight, Men",Yermakhan Ibraimov,KAZ,Marian Simion,ROU,Jermain TaylorPornchai Thongburan,USATHA,2000,Boxing,,,,,
"Middleweight, Men",Jorge GutiÃ©rrez,CUB,Gaydarbek Gaydarbekov,RUS,VÃ¼qar Mursal ÆlÉkbÉrovZsolt Erdei,AZEHUN,2000,Boxing,,,,,
"Light-Heavyweight, Men",Aleksandr Lebzyak,RUS,Rudi Kraj,CZE,Andriy FedchukSergey Mikhaylov,UKRUZB,2000,Boxing,,,,,
"Heavyweight, Men",FÃ©lix SavÃ³n,CUB,Sultan Ibragimov,RUS,Sebastian KÃ¶berVladimir Ch'ant'uria,GERGEO,2000,Boxing,,,,,
"Super-Heavyweight, Men",Audley Harrison,GBR,Mukhtarkhan Dildabekov,KAZ,Paolo VidozRustam Saidov,ITAUZB,2000,Boxing,,,,,
"Kayak Singles, Slalom, Men",Thomas Schmidt,GER,Paul Ratcliffe,GBR,Pierpaolo Ferrazzi,ITA,2000,Canoe Slalom,,,,,
"Canadian Singles, Slalom, Men",Tony Estanguet,FRA,Michal MartikÃ¡n,SVK,Juraj MinÄÃ­k,SVK,2000,Canoe Slalom,,,,,
"Canadian Doubles, Slalom, Men",Slovakia,SVK,Poland 1,POL,Czech Republic 1,CZE,2000,Canoe Slalom,,,,,
"Kayak Singles, Slalom, Women",Å tÄpÃ¡nka HilgertovÃ¡,CZE,Brigitte Guibal,FRA,Anne-Lise Bardet,FRA,2000,Canoe Slalom,,,,,
"Kayak Singles, 500 metres, Men",Knut Holmann,NOR,Petar Merkov,BUL,Michael Kolganov,ISR,2000,Canoe Sprint,,,,,
"Kayak Singles, 1,000 metres, Men",Knut Holmann,NOR,Petar Merkov,BUL,Tim Brabants,GBR,2000,Canoe Sprint,,,,,
"Kayak Doubles, 500 metres, Men",Hungary,HUN,Australia,AUS,Germany,GER,2000,Canoe Sprint,,,,,
"Kayak Doubles, 1,000 metres, Men",Italy,ITA,Sweden,SWE,Hungary,HUN,2000,Canoe Sprint,,,,,
"Kayak Fours, 1,000 metres, Men",Hungary,HUN,Germany,GER,Poland,POL,2000,Canoe Sprint,,,,,
"Canadian Singles, 500 metres, Men",GyÃ¶rgy Kolonics,HUN,Maksim Opalev,RUS,Andreas Dittmer,GER,2000,Canoe Sprint,,,,,
"Canadian Singles, 1,000 metres, Men",Andreas Dittmer,GER,Ledys Balceiro,CUB,Steve Giles,CAN,2000,Canoe Sprint,,,,,
"Canadian Doubles, 500 metres, Men",Hungary,HUN,Poland,POL,Romania,ROU,2000,Canoe Sprint,,,,,
"Canadian Doubles, 1,000 metres, Men",Romania,ROU,Cuba,CUB,Germany,GER,2000,Canoe Sprint,,,,,
"Kayak Singles, 500 metres, Women",Josefa Idem-Guerrini,ITA,Caroline Brunet,CAN,Katrin Borchert,AUS,2000,Canoe Sprint,,,,,
"Kayak Doubles, 500 metres, Women",Germany,GER,Hungary,HUN,Poland,POL,2000,Canoe Sprint,,,,,
"Kayak Fours, 500 metres, Women",Germany,GER,Hungary,HUN,Romania,ROU,2000,Canoe Sprint,,,,,
"Cross-Country, Men",Miguel Martinez,FRA,Filip Meirhaeghe,BEL,Christoph Sauser,SUI,2000,Cycling Mountain Bike,,,,,
"Cross-Country, Women",Paola Pezzo,ITA,Barbara Blatter,SUI,Marga Fullana,ESP,2000,Cycling Mountain Bike,,,,,
"Road Race, Individual, Men",Jan Ullrich,GER,Aleksandr Vinokurov,KAZ,Andreas KlÃ¶den,GER,2000,Cycling Road,,,,,
"Individual Time Trial, Men",Vyacheslav Yekimov,RUS,Jan Ullrich,GER,â,â,2000,Cycling Road,,,,,
"Road Race, Individual, Women",Leontien Zijlaard-van Moorsel,NED,Hanka Kupfernagel,GER,Diana Å½iliÅ«tÄ,LTU,2000,Cycling Road,,,,,
"Individual Time Trial, Women",Leontien Zijlaard-van Moorsel,NED,Mari Holden,USA,Jeannie Longo-Ciprelli,FRA,2000,Cycling Road,,,,,
"Sprint, Men",Marty Nothstein,USA,Florian Rousseau,FRA,Jens Fiedler,GER,2000,Cycling Track,,,,,
"1,000 metres Time Trial, Men",Jason Queally,GBR,Stefan Nimke,GER,Shane Kelly,AUS,2000,Cycling Track,,,,,
"Keirin, Men",Florian Rousseau,FRA,Gary Neiwand,AUS,Jens Fiedler,GER,2000,Cycling Track,,,,,
"Team Sprint, Men",France,FRA,Great Britain,GBR,Australia,AUS,2000,Cycling Track,,,,,
"Individual Pursuit, 4,000 metres, Men",Robert Bartko,GER,Jens Lehmann,GER,Brad McGee,AUS,2000,Cycling Track,,,,,
"Team Pursuit, 4,000 metres, Men",Germany,GER,Ukraine,UKR,Great Britain,GBR,2000,Cycling Track,,,,,
"Points Race, Men",Joan Llaneras,ESP,Milton Wynants,URU,Aleksey Markov,RUS,2000,Cycling Track,,,,,
"Madison, Men",Australia,AUS,Belgium,BEL,Italy,ITA,2000,Cycling Track,,,,,
"Sprint, Women",F�licia Ballanger,FRA,Oksana Grishina,RUS,Iryna Yanovych,UKR,2000,Cycling Track,,,,,
"500 metres Time Trial, Women",F�licia Ballanger,FRA,Michelle Ferris,AUS,Jiang Cuihua,CHN,2000,Cycling Track,,,,,
"Individual Pursuit, Women",Leontien Zijlaard-van Moorsel,NED,Marion Clignet,FRA,Yvonne McGregor,GBR,2000,Cycling Track,,,,,
"Points Race, Women",Antonella Bellutti,ITA,Leontien Zijlaard-van Moorsel,NED,Olga Slyusareva,RUS,2000,Cycling Track,,,,,
"Springboard, Men",Xiong Ni,CHN,Fernando Platas,MEX,Dmitry Sautin,RUS,2000,Diving,,,,,
"Platform, Men",Tian Liang,CHN,Hu Jia,CHN,Dmitry Sautin,RUS,2000,Diving,,,,,
"Synchronized Springboard, Men",People's Republic of China,CHN,Russian Federation,RUS,Australia,AUS,2000,Diving,,,,,
"Synchronized Platform, Men",Russian Federation,RUS,People's Republic of China,CHN,Germany,GER,2000,Diving,,,,,
"Springboard, Women",Fu Mingxia,CHN,Guo Jingjing,CHN,DÃ¶rte Lindner,GER,2000,Diving,,,,,
"Platform, Women",Laura Wilkinson,USA,Li Na,CHN,Anne Montminy,CAN,2000,Diving,,,,,
"Synchronized Springboard, Women",Russian Federation,RUS,People's Republic of China,CHN,Ukraine,UKR,2000,Diving,,,,,
"Synchronized Platform, Women",People's Republic of China,CHN,Canada,CAN,Australia,AUS,2000,Diving,,,,,
"Individual, Open",Anky van Grunsven,NED,Isabell Werth,GER,Ulla Salzgeber,GER,2000,Equestrian Dressage,,,,,
"Team, Open",Germany,GER,Netherlands,NED,United States,USA,2000,Equestrian Dressage,,,,,
"Individual, Open",David O'Connor,USA,Andrew Hoy,AUS,Mark Todd,NZL,2000,Equestrian Eventing,,,,,
"Team, Open",Australia,AUS,Great Britain,GBR,United States,USA,2000,Equestrian Eventing,,,,,
"Individual, Open",Jeroen Dubbeldam,NED,Albert Voorn,NED,Khaled Al-Eid,KSA,2000,Equestrian Jumping,,,,,
"Team, Open",Germany,GER,Switzerland,SUI,Brazil,BRA,2000,Equestrian Jumping,,,,,
"Foil, Individual, Men",Kim Yeong-Ho,KOR,Ralf BiÃdorf,GER,Dmitry Shevchenko,RUS,2000,Fencing,,,,,
"Foil, Team, Men",France,FRA,People's Republic of China,CHN,Italy,ITA,2000,Fencing,,,,,
"ÃpÃ©e, Individual, Men",Pavel Kolobkov,RUS,Hugues Obry,FRA,Lee Sang-Gi,KOR,2000,Fencing,,,,,
"ÃpÃ©e, Team, Men",Italy,ITA,France,FRA,Cuba,CUB,2000,Fencing,,,,,
"Sabre, Individual, Men",Mihai Covaliu,ROU,Matthieu Gourdain,FRA,Wiradech Kothny,GER,2000,Fencing,,,,,
"Sabre, Team, Men",Russian Federation,RUS,France,FRA,Germany,GER,2000,Fencing,,,,,
"Foil, Individual, Women",Valentina Vezzali,ITA,Rita KÃ¶nig,GER,Giovanna Trillini,ITA,2000,Fencing,,,,,
"Foil, Team, Women",Italy,ITA,Poland,POL,Germany,GER,2000,Fencing,,,,,
"ÃpÃ©e, Individual, Women",TÃ­mea Nagy,HUN,Gianna HablÃ¼tzel-BÃ¼rki,SUI,Laura Flessel-Colovic,FRA,2000,Fencing,,,,,
"ÃpÃ©e, Team, Women",Russian Federation,RUS,Switzerland,SUI,People's Republic of China,CHN,2000,Fencing,,,,,
"Football, Men",Cameroon,CMR,Spain,ESP,Chile,CHI,2000,Football,,,,,
"Football, Women",Norway,NOR,United States,USA,Germany,GER,2000,Football,,,,,
"Handball, Men",Russian Federation,RUS,Sweden,SWE,Spain,ESP,2000,Handball,,,,,
"Handball, Women",Denmark,DEN,Hungary,HUN,Norway,NOR,2000,Handball,,,,,
"Hockey, Men",Netherlands,NED,Republic of Korea,KOR,Australia,AUS,2000,Hockey,,,,,
"Hockey, Women",Australia,AUS,Argentina,ARG,Netherlands,NED,2000,Hockey,,,,,
"Extra-Lightweight, Men",Tadahiro Nomura,JPN,Jeong Bu-Gyeong,KOR,Aydyn SmagulovManolo Poulot,KGZCUB,2000,Judo,,,,,
"Half-Lightweight, Men",HÃ¼seyin Ãzkan,TUR,Larbi Benboudaoud,FRA,Giorgi VazagashviliGirolamo Giovinazzo,GEOITA,2000,Judo,,,,,
"Lightweight, Men",Giuseppe Maddaloni,ITA,Tiago Camilo,BRA,Anatol LarukouVsevolods ZeÄ¼onijs,BLRLAT,2000,Judo,,,,,
